 (be) addressed to ～ [動],（～に）宛先を記す(to …)
 routine[名],決められた動作（方法）、（習慣的に）繰り返されるもの、日課
 row[名],行、列
 salary[名],給料
 salt[名],塩
 sample[名],見本、試供品、サンプル、標本
 satellite[名],衛星
 satisfy[動],満足させる、(条件など)を満たす
 scarcely[副],ほとんど～ない
 scatter[動],散らばる、分散させる、まき散らす
 scent[名],（いい）香り
 scissors[名],はさみ
 screening[名],ふるい分け、選別
 secret[名],秘密
 secretary[名],秘書、書記、長官
 section[名],区画、区域、セクション
 seed[名],種、種子
 seemingly[副],一見したところ、見た目には
 senior[形],上位の、高位の、年上の
 sensation[名],感覚、世間を沸かせるもの
 sense[動],感じる
sense[名],意味、意義
 separately[副],離れて、分けて、別々に
 series[名],一連（のもの）、連続、シリーズ
 serve[動],（～に）仕える、（～の）役に立つ、勤務する
 server[名],（コンピュータの）サーバー
 severely[副],（事態、状況などが）ひどく、厳しく
 sexual[形],性の
 shade[名],日陰
 shallow[形],浅い
 shareholder[名],株主
 shed[動],（木が葉を）落とす、（血・涙を）流す、発する、放つ
 shelf[名],棚
 shelter[名],シェルター、避難所、住まい
 shilling[名],シリング、シリング硬貨
 shoot[動],撃つ、発射する、(写真・映画を)撮影する
 shrink[動],縮む、縮まる、縮小する、減少する
 shutdown[名],一時休業、操業停止
 sideways[副],横へ、斜めに
 signal[動],合図する、前兆となる
 significant[形],相当な、かなりの
 significantly[副],かなり、はっきりと
 similar[形],似かよった、類似の
 similarly[副],類似して、同様に
 since[接],～して以来
 since[接],～なので
 Singapore[名],シンガポール
 situation[名],状況
 sketch[名],写生、スケッチ
 skill[名],技術、能力
 slight[形],わずかな、少しの
 smooth[形],なめらかな、すべすべした
 smoothly[副],なめらかに、順調に
 sneeze[動],くしゃみをする
 soak[動],浸す、びしょ濡れにする
 soar[動],上昇する、舞い上がる、急増する、高まる
 sob[動],すすり泣く
 solution[名],解決、解決策
 somebody[名],誰か
 sound[動],～に聞こえる、（聞いたところ）～のようだ
 souvenir[名],みやげ物、記念品
 sow[動],（種を）まく
 Spanish[名],スペイン語、スペイン人
 spare[動],（使わないで）とっておく、なしですます、節約する
 specifically[副],特に、具体的に
 spot[名],地点、個所
 squeeze[動],押し込む、絞る、圧搾する
